data	target	roc_auc_score	pr_auc_score
Cell Painting, ECFP4 fingerprints	P04626	0.888888888888889	0.7380952380952381
Cell Painting, ECFP4 fingerprints	P04798	0.7348130841121495	0.13513337529294978
Cell Painting, ECFP4 fingerprints	P05164	0.5454545454545454	0.1138755980861244
Cell Painting, ECFP4 fingerprints	P05177	0.7281586792020178	0.34444923447980075
Cell Painting, ECFP4 fingerprints	P05181	0.875	0.5541666666666667
Cell Painting, ECFP4 fingerprints	P05186	0.9595959595959597	0.7
Cell Painting, ECFP4 fingerprints	P06239	0.7035040431266846	0.37831937784058167
Cell Painting, ECFP4 fingerprints	P06241	0.6915584415584416	0.23276265461139412
Cell Painting, ECFP4 fingerprints	P06493	0.6515151515151515	0.45276292335115864
Cell Painting, ECFP4 fingerprints	P07333	0.5303030303030303	0.16984126984126985
Cell Painting, ECFP4 fingerprints	P07550	0.9030172413793103	0.8178092501368364
Cell Painting, ECFP4 fingerprints	P07900	0.5533498759305211	0.3024832824754024
Cell Painting, ECFP4 fingerprints	P07947	0.7878787878787878	0.28968253968253965
Cell Painting, ECFP4 fingerprints	P07949	0.9516129032258065	0.5
Cell Painting, ECFP4 fingerprints	P08172	0.8784037558685446	0.6390890311734302
Cell Painting, ECFP4 fingerprints	P08173	0.9362261669953977	0.6246011210680262
Cell Painting, ECFP4 fingerprints	P08183	0.7813620071684587	0.4969335732493627
Cell Painting, ECFP4 fingerprints	P08581	0.5909090909090908	0.4366013071895425
Cell Painting, ECFP4 fingerprints	P08588	0.8933419521654816	0.7654601315503061
Cell Painting, ECFP4 fingerprints	P08659	0.5645161290322581	0.09808612440191387
Cell Painting, ECFP4 fingerprints	P08684	0.6301790730337079	0.1736252679620274
Cell Painting, ECFP4 fingerprints	P08908	0.9327680193821926	0.6026906593084426
Cell Painting, ECFP4 fingerprints	P08912	0.8942857142857144	0.5823158524689137
Cell Painting, ECFP4 fingerprints	P08913	0.908843537414966	0.48035459250311424
Cell Painting, ECFP4 fingerprints	P09467	1.0	1.0
Cell Painting, ECFP4 fingerprints	P09619	0.9671052631578947	0.7928571428571428
Cell Painting, ECFP4 fingerprints	P09917	0.8387096774193548	0.2361111111111111
Cell Painting, ECFP4 fingerprints	P0DMS8	0.9666666666666668	0.8888888888888888
Cell Painting, ECFP4 fingerprints	P0DTD1	0.8225806451612903	0.5769230769230769
Cell Painting, ECFP4 fingerprints	P10275	0.5	0.12649355288674174
Cell Painting, ECFP4 fingerprints	P10608	0.8760107816711591	0.6556689342403628
Cell Painting, ECFP4 fingerprints	P10632	0.7951338199513381	0.3278332480907675
Cell Painting, ECFP4 fingerprints	P10635	0.7747239412692635	0.30693424074249037
Cell Painting, ECFP4 fingerprints	P10721	0.93125	0.7589285714285714
Cell Painting, ECFP4 fingerprints	P11229	0.9442125237191651	0.7535863067588989
Cell Painting, ECFP4 fingerprints	P11309	0.79375	0.3833333333333333
Cell Painting, ECFP4 fingerprints	P11362	0.9249999999999999	0.7
Cell Painting, ECFP4 fingerprints	P11511	0.8297872340425532	0.47892720306513403
Cell Painting, ECFP4 fingerprints	P11712	0.4931726907630522	0.08403780352140798
Cell Painting, ECFP4 fingerprints	P12931	0.8448275862068966	0.2777777777777778
Cell Painting, ECFP4 fingerprints	P13569	0.8870967741935484	0.375
Cell Painting, ECFP4 fingerprints	P13945	0.9972222222222221	0.976190476190476
Cell Painting, ECFP4 fingerprints	P14061	0.6	0.3088235294117647
Cell Painting, ECFP4 fingerprints	P14416	0.9403483309143688	0.6377854522190871
Cell Painting, ECFP4 fingerprints	P14607	0.8355263157894737	0.44497863247863245
Cell Painting, ECFP4 fingerprints	P14867	0.66	0.4076923076923077
Cell Painting, ECFP4 fingerprints	P14902	0.7222222222222221	0.4658119658119658
Cell Painting, ECFP4 fingerprints	P15121	0.88	0.6833333333333333
Cell Painting, ECFP4 fingerprints	P15538	0.5454545454545455	0.28074074074074074
Cell Painting, ECFP4 fingerprints	P15823	0.9185082872928176	0.6504546488208195
Cell Painting, ECFP4 fingerprints	P16234	0.95	0.5833333333333333
Cell Painting, ECFP4 fingerprints	P16591	0.736111111111111	0.23095238095238096
Cell Painting, ECFP4 fingerprints	P17252	0.7	0.46708333333333335
Cell Painting, ECFP4 fingerprints	P17861	0.7837837837837838	0.4526315789473684
Cell Painting, ECFP4 fingerprints	P17948	0.7222222222222222	0.33040935672514615
Cell Painting, ECFP4 fingerprints	P18031	0.7424242424242423	0.48333333333333334
Cell Painting, ECFP4 fingerprints	P18089	0.949556775010553	0.6986827327379042
Cell Painting, ECFP4 fingerprints	P18507	0.888888888888889	0.5873015873015872
Cell Painting, ECFP4 fingerprints	P18825	0.8929292929292929	0.44532738168033764
Cell Painting, ECFP4 fingerprints	P18841	0.8899999999999999	0.65
