data	target	roc_auc_score	pr_auc_score
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P15823	0.9024861878453039	0.5939705195799122
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P16234	0.85	0.325
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P16591	0.9027777777777777	0.625
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P17252	0.66	0.3219827586206897
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P17861	0.8378378378378379	0.4772727272727273
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P17948	0.9444444444444444	0.7
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18031	0.6969696969696969	0.4658119658119658
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18089	0.9257070493879274	0.6474074011174169
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18507	0.8472222222222222	0.3472222222222222
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18825	0.935959595959596	0.6787770094187079
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18841	0.9700000000000001	0.8541666666666666
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18901	0.9560344827586207	0.7789439547644166
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P19838	0.8964646464646464	0.648096465268633
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P20309	0.9085497835497836	0.7883239914113775
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P20813	0.6846153846153845	0.33171268507402957
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P20815	0.790625	0.34147727272727274
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21397	0.8506493506493505	0.5322631976767316
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21452	0.896551724137931	0.39285714285714285
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21554	0.8333333333333333	0.6068056973344385
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21728	0.9478787878787878	0.7193471165957693
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21731	0.22580645161290325	0.05721003134796238
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21917	0.8880503144654088	0.6510460303524354
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21918	0.7849462365591398	0.3188247597967242
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P22303	0.954954954954955	0.6984126984126985
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P22748	0.8149350649350648	0.6741718426501035
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23219	0.8503401360544218	0.3661375661375661
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23280	0.8537414965986394	0.857142857142857
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23576	0.8455882352941176	0.5892857142857143
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23975	0.9274465691788527	0.7837891564170176
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P24462	0.7861111111111111	0.3535685819043064
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P24557	0.74	0.5037878787878788
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P24941	0.736111111111111	0.3333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P25021	0.736842105263158	0.5125256370260399
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P25100	0.8643012760659821	0.530984097396704
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P27338	0.73	0.27400210084033616
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P27815	0.7083333333333333	0.48120300751879697
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28221	0.9319444444444446	0.711180265478511
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28222	0.8858225108225107	0.5852957828294787
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28223	0.8466666666666666	0.4311008580035173
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28335	0.8536121673003803	0.5208625109620173
