data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Mordred descriptors	Q02763	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	10	9	0	0	96	3	0	0	24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7777777777777778	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.126178765296936
Mordred descriptors	Q02763	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	10	9	0	0	96	3	0	0	24	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.711111111111111	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.81006101767222
Mordred descriptors	Q04206	38 (0.93%)	4062 (416889.47%)	0.0094	GradientBoosting	200	198	28	4	0	302	4	5	6	69	0.9934640522875816	0.6662162162162162	0.875	0.4444444444444444	1.0	0.4	0.9333333333333332	0.5375757575757575	0.4210526315789474	0.9934640522875816	0.7324324324324325	0.9292804159688656	0.3480706151819673	0.875	0.3941563537059832	1.850385014216105
Mordred descriptors	Q04206	38 (0.93%)	4062 (416889.47%)	0.0094	XGBoost	200	131	21	3	7	303	2	1	8	73	0.8700980392156863	0.5932432432432433	0.875	0.6666666666666666	0.75	0.2	0.8076923076923077	0.3919191919191919	0.3076923076923076	0.8700980392156863	0.7148648648648649	0.7943283097250239	0.3254318759831401	0.6772080838323353	0.4204281035363366	3.7596691250801086
Mordred descriptors	Q05397	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	169	8	0	0	88	1	3	2	19	1.0	0.5984848484848485	1.0	0.25	1.0	0.3333333333333333	1.0	0.4666666666666666	0.2857142857142857	1.0	0.7727272727272727	1.0	0.1745949755388323	1.0	0.5333333333333333	2.481434790293376
Mordred descriptors	Q05397	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	191	1	4	7	84	0	1	3	21	0.5397727272727273	0.4772727272727273	0.2	0.0	0.125	0.0	0.1538461538461538	0.2152380952380952	0.0	0.5397727272727273	0.4166666666666666	0.0989454889836307	-0.0753778361444409	0.0979166666666666	0.2416666666666666	6.051486047108968
Mordred descriptors	Q05586	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	184	8	1	0	79	1	0	1	20	0.99375	0.75	0.8888888888888888	1.0	1.0	0.5	0.9411764705882352	0.5	0.6666666666666666	0.99375	0.9	0.936897954837013	0.6900655593423543	0.8888888888888888	0.6666666666666666	1.750844903786977
Mordred descriptors	Q05586	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	29	1	0	7	80	0	0	2	20	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.3688888888888889	0.0	0.5625	0.975	0.3390317518104052	0.0	0.2045454545454545	0.8333333333333333	9.712572117646536
Mordred descriptors	Q05655	16 (0.39%)	4084 (433925.0%)	0.0039	GradientBoosting	200	107	13	4	0	123	3	0	0	33	0.984251968503937	1.0	0.7647058823529411	1.0	1.0	1.0	0.8666666666666666	0.6266666666666667	1.0	0.984251968503937	1.0	0.8605932010607007	1.0	0.7647058823529411	1.0	2.1094979564348857
Mordred descriptors	Q05655	16 (0.39%)	4084 (433925.0%)	0.0039	XGBoost	200	142	0	0	13	127	0	0	3	33	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.3185714285714286	0.0	0.5	0.9595959595959596	0.0	0.0	0.0928571428571428	0.8095238095238095	5.823717459042867
