data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Physicochemical properties	P49841	26 (0.63%)	4074 (423069.23%)	0.0064	XGBoost	200	19	14	14	7	193	0	4	5	49	0.7995169082125604	0.4622641509433962	0.5	0.0	0.6666666666666666	0.0	0.5714285714285715	0.4805194805194805	0.0	0.7995169082125604	0.6226415094339623	0.5277790490704242	-0.0835949770959198	0.3640350877192982	0.1410715374043048	11.818198084831238
Physicochemical properties	P50406	85 (2.07%)	4015 (406223.53%)	0.0212	GradientBoosting	200	51	40	157	26	525	11	36	8	132	0.6879276637341154	0.6823308270676691	0.2030456852791878	0.2340425531914893	0.6060606060606061	0.5789473684210527	0.3041825095057034	0.304203365556749	0.3333333333333333	0.6879276637341153	0.712875939849624	0.2420337630028113	0.2539853062228853	0.1578173493670657	0.2343938246309349	2.6705044984817503
Physicochemical properties	P50406	85 (2.07%)	4015 (406223.53%)	0.0212	XGBoost	200	160	44	22	22	660	9	8	10	160	0.8172043010752688	0.713032581453634	0.6666666666666666	0.5294117647058824	0.6666666666666666	0.4736842105263157	0.6666666666666666	0.4013458110516933	0.5	0.8172043010752688	0.8076441102756892	0.6344086021505376	0.447773662839645	0.4738562091503268	0.4735869077515581	16.32468461592992
Physicochemical properties	P50407	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	130	13	2	0	117	1	2	1	29	0.9915966386554622	0.717741935483871	0.8666666666666667	0.3333333333333333	1.0	0.5	0.9285714285714286	0.3142857142857143	0.4	0.991596638655462	0.6290322580645161	0.923093083245744	0.3614486980061245	0.8666666666666667	0.2101449275362318	2.833828067779541
Physicochemical properties	P50407	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	105	11	3	2	116	0	1	2	30	0.9104718810601165	0.4838709677419355	0.7857142857142857	0.0	0.8461538461538461	0.0	0.8148148148148148	0.260952380952381	0.0	0.9104718810601165	0.5483870967741935	0.7944261706496153	-0.0449013255066937	0.6799866799866799	0.2023809523809523	13.597136282920838
Physicochemical properties	P50750	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	90	7	11	2	85	1	4	2	20	0.8315972222222222	0.5833333333333334	0.3888888888888889	0.2	0.7777777777777778	0.3333333333333333	0.5185185185185185	0.2888888888888888	0.25	0.8315972222222222	0.763888888888889	0.4926084665530126	0.1348399724926484	0.3215167548500882	0.4880952380952381	1.45941766500473
Physicochemical properties	P50750	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	10	9	96	0	0	3	24	0	0	0.5	0.5	0.0857142857142857	0.1111111111111111	1.0	1.0	0.1578947368421052	0.1480693219823654	0.1999999999999999	0.5	0.4027777777777778	0.0	0.0	0.0857142857142857	0.1111111111111111	5.234318852424622
Physicochemical properties	P51452	22 (0.54%)	4078 (426336.36%)	0.0054	GradientBoosting	200	128	11	37	4	141	3	10	4	32	0.7627340823970037	0.5952380952380952	0.2291666666666666	0.2307692307692307	0.7333333333333333	0.4285714285714285	0.3492063492063492	0.3426984126984126	0.3	0.7627340823970038	0.7227891156462585	0.3254598504481537	0.1509702712192794	0.1887809441565918	0.4084567160197412	2.439409490426381
Physicochemical properties	P51452	22 (0.54%)	4078 (426336.36%)	0.0054	XGBoost	200	24	9	5	6	173	2	1	5	41	0.7859550561797752	0.6309523809523809	0.6428571428571429	0.6666666666666666	0.6	0.2857142857142857	0.6206896551724138	0.4633333333333332	0.4	0.7859550561797753	0.7517006802721088	0.5903273070412387	0.3822764257713037	0.4168023686158401	0.4440657113909393	19.426704239845275
Physicochemical properties	P51589	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	191	13	12	0	107	0	9	2	22	0.9495798319327732	0.3548387096774194	0.52	0.0	1.0	0.0	0.6842105263157895	0.4704761904761904	0.0	0.9495798319327732	0.4193548387096774	0.6837858036037923	-0.1555427542095638	0.52	0.0763157894736842	2.564327561855316
