data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting	P50750	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	157	1	1	8	95	0	1	3	23	0.5503472222222222	0.4791666666666667	0.5	0.0	0.1111111111111111	0.0	0.1818181818181818	0.2210526315789473	0.0	0.5503472222222223	0.7361111111111112	0.2062190449458582	-0.0693375245281536	0.1317460317460317	0.3244047619047618	4.069047979513804
Cell Painting	P51452	22 (0.54%)	4078 (426336.36%)	0.0054	GradientBoosting	200	172	15	18	0	160	1	2	6	40	0.949438202247191	0.5476190476190476	0.4545454545454545	0.3333333333333333	1.0	0.1428571428571428	0.625	0.3671428571428571	0.2	0.949438202247191	0.608843537414966	0.6392027721005931	0.1390096093713831	0.4545454545454545	0.2274345371821253	0.8269469380378723
Cell Painting	P51452	22 (0.54%)	4078 (426336.36%)	0.0054	XGBoost	200	21	0	3	15	175	0	0	7	42	0.4915730337078651	0.5	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.4915730337078651	0.7363945578231292	-0.0364770287314348	0.0	0.077720207253886	0.3036929888234363	3.957601241270701
Cell Painting	P51589	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	159	13	1	0	118	0	4	2	27	0.9957983193277312	0.4354838709677419	0.9285714285714286	0.0	1.0	0.0	0.962962962962963	0.25	0.0	0.9957983193277312	0.7903225806451613	0.959566728957882	-0.0943333261273156	0.9285714285714286	0.1825396825396825	8.324625464280446
Cell Painting	P51589	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	194	0	1	13	118	0	0	2	31	0.4957983193277311	0.5	0.0	0.0	0.0	0.0	0.0	0.2425	0.0	0.4957983193277311	0.0806451612903226	-0.0288776964940325	0.0	0.0984848484848484	0.0494994438264738	3.0255432883898417
Cell Painting	P51812	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	22	8	0	0	80	0	0	2	20	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.3333333333333333	0.0	1.0	0.775	1.0	0.0	1.0	0.5909090909090909	2.940261995792389
Cell Painting	P51812	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	144	1	3	7	77	0	0	2	20	0.54375	0.5	0.25	0.0	0.125	0.0	0.1666666666666666	0.16	0.0	0.54375	0.6499999999999999	0.1207614728849119	0.0	0.1107954545454545	0.3166666666666666	4.049280289808909
Cell Painting	P52333	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	89	9	1	0	104	1	1	3	24	0.9952380952380953	0.605	0.9	0.5	1.0	0.25	0.9473684210526316	0.4599999999999999	0.3333333333333333	0.9952380952380953	0.9	0.9441549509633318	0.2857738033247041	0.9	0.6575757575757576	3.953895608584086
Cell Painting	P52333	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	165	0	0	9	105	0	0	4	25	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2194871794871794	0.0	0.5	0.76	0.0	0.0	0.0789473684210526	0.3833333333333333	3.244116898377736
Cell Painting	P53779	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	10	8	0	0	80	0	0	2	20	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.2666666666666667	0.0	1.0	0.75	1.0	0.0	1.0	0.2666666666666666	6.621165804068247
Cell Painting	P53779	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	21	8	0	0	80	0	0	2	20	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.2666666666666667	0.0	1.0	0.575	1.0	0.0	1.0	0.2254901960784313	4.414725192387899
