data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
RDKit 1D descriptors	10021639	78(11.69%)	589 (88.31%)	XGBoost	50	6	44	85	16	388	9	24	9	92	0.7768146582100071	0.646551724137931	0.3410852713178294	0.2727272727272727	0.7333333333333333	0.5	0.4656084656084655	0.225768484389174	0.3529411764705882	0.7768146582100071	0.6762452107279693	0.4085448470841851	0.2319896011052011	0.280147960692487	0.2311266234262385	4.519668340682983
RDKit 1D descriptors	10005359	75(11.24%)	592 (88.76%)	XGBoost	50	38	38	57	24	414	3	22	10	99	0.7459420587630985	0.5244755244755245	0.4	0.12	0.6129032258064516	0.2307692307692307	0.4840764331210191	0.1438290147855365	0.1578947368421052	0.7459420587630984	0.5692943420216147	0.41206928134172	0.0371914499853298	0.2901894329116988	0.1375623115190522	3.088628896077474
RDKit 1D descriptors	10037855	148(22.19%)	519 (77.81%)	XGBoost	50	21	74	90	43	326	16	24	15	79	0.7080662393162394	0.6415596617601003	0.4512195121951219	0.4	0.6324786324786325	0.5161290322580645	0.5266903914590748	0.374217610207925	0.4507042253521127	0.7080662393162394	0.7284685248982149	0.3731952456262334	0.2609005825074544	0.3660621221596831	0.44966953326713	3.804893330732981
RDKit 1D descriptors	10062226	52(7.8%)	615 (92.2%)	XGBoost	50	33	25	17	15	476	1	3	11	119	0.7952586206896552	0.5293715846994536	0.5952380952380952	0.25	0.625	0.0833333333333333	0.6097560975609756	0.2404761904761905	0.125	0.7952586206896552	0.4726775956284153	0.5774583243610537	0.0985657977064638	0.4001663986420084	0.103154877532792	3.0448753515879314
RDKit 1D descriptors	10011469	26(3.9%)	641 (96.1%)	XGBoost	50	6	13	13	6	501	1	2	6	125	0.8294593487610076	0.5635545556805399	0.5	0.3333333333333333	0.6842105263157895	0.1428571428571428	0.5777777777777778	0.2071428571428571	0.2	0.8294593487610075	0.6996625421822271	0.5671520910236186	0.1911750831750235	0.3533622988051743	0.1475648888662207	3.26334304412206
RDKit 1D descriptors	10058877	53(7.95%)	614 (92.05%)	XGBoost	50	35	26	50	13	444	6	22	8	98	0.7827260458839407	0.6226190476190476	0.3421052631578947	0.2142857142857142	0.6666666666666666	0.4285714285714285	0.4521739130434782	0.1713247863247863	0.2857142857142857	0.7827260458839406	0.7214285714285714	0.4211401978121658	0.1845060565902802	0.2524604193410355	0.1934672464617897	3.462163972854614
RDKit 1D descriptors	10033557	58(8.7%)	609 (91.3%)	XGBoost	50	32	30	53	17	433	3	25	8	98	0.7646221871990193	0.5347376201034737	0.3614457831325301	0.1071428571428571	0.6382978723404256	0.2727272727272727	0.4615384615384615	0.2412327610470025	0.1538461538461538	0.7646221871990194	0.6334072431633407	0.413883402671135	0.0469080097767677	0.2626050086738716	0.1209184630148402	2.625703688462575
RDKit 1D descriptors	10018627	78(11.69%)	589 (88.31%)	XGBoost	50	32	49	81	18	385	6	34	5	89	0.7787617705464096	0.6345158906134516	0.3769230769230769	0.15	0.7313432835820896	0.5454545454545454	0.4974619289340101	0.380978705978706	0.2352941176470588	0.7787617705464097	0.7161862527716186	0.4303971336866437	0.1613832892679564	0.3094312676766262	0.2958716957481516	3.7546038468678793
RDKit 1D descriptors	10036653	71(10.64%)	596 (89.36%)	XGBoost	50	13	37	47	19	430	4	18	11	101	0.7810908954776878	0.557703081232493	0.4404761904761904	0.1818181818181818	0.6607142857142857	0.2666666666666666	0.5285714285714285	0.2542200328407226	0.2162162162162162	0.7810908954776878	0.6089635854341737	0.4731154866713923	0.098226293915998	0.3266761911143444	0.1773425348687938	3.716366644700368
RDKit 1D descriptors	10027452	79(11.84%)	588 (88.16%)	XGBoost	50	41	38	59	23	413	5	12	13	104	0.7489754098360656	0.5871647509578544	0.3917525773195876	0.2941176470588235	0.6229508196721312	0.2777777777777778	0.4810126582278481	0.2355295741484999	0.2857142857142857	0.7489754098360656	0.6036877394636014	0.4108594274909822	0.1786153360131317	0.2871945591311453	0.2902468413780729	2.4694472352663674
RDKit 1D descriptors	10030963	92(13.79%)	575 (86.21%)	XGBoost	50	22	49	64	24	396	4	16	15	99	0.76605122096486	0.5356979405034326	0.4336283185840708	0.2	0.6712328767123288	0.2105263157894736	0.5268817204301076	0.156296918767507	0.2051282051282051	0.76605122096486	0.6475972540045767	0.4475810914056884	0.0698926414728235	0.3360937262962342	0.304306632587921	3.458527763684591
RDKit 1D descriptors	10003693	89(13.34%)	578 (86.66%)	XGBoost	50	43	51	28	16	438	2	10	20	102	0.8505540964704374	0.5008116883116883	0.6455696202531646	0.1666666666666666	0.7611940298507462	0.0909090909090909	0.6986301369863013	0.2127621728117084	0.1176470588235294	0.8505540964704376	0.6181006493506493	0.6541448548228181	0.0021060520542302	0.521422502515801	0.2106191661125026	3.8550351659456887
RDKit 1D descriptors	10047571	55(8.25%)	612 (91.75%)	XGBoost	50	49	17	30	27	459	0	8	11	115	0.6625069715560513	0.4674796747967479	0.3617021276595745	0.0	0.3863636363636363	0.0	0.3736263736263736	0.1373433583959899	0.0	0.6625069715560513	0.5868440502586844	0.3154392248433615	-0.0753535136514246	0.1904052097357754	0.0984277035142495	3.535485891501109
RDKit 1D descriptors	10039740	40(6.0%)	627 (94.0%)	XGBoost	50	8	21	39	11	462	1	11	7	115	0.7892028443113772	0.5188492063492063	0.35	0.0833333333333333	0.65625	0.125	0.4565217391304347	0.2363636363636363	0.1	0.7892028443113772	0.6101190476190477	0.4347306015611438	0.0312811558628716	0.2503253986866791	0.1356885372866064	4.29972178141276
RDKit 1D descriptors	10005758	65(9.75%)	602 (90.25%)	XGBoost	50	8	40	89	14	390	4	33	7	90	0.7774684914559653	0.5476718403547671	0.3100775193798449	0.1081081081081081	0.7407407407407407	0.3636363636363636	0.4371584699453552	0.2223655913978494	0.1666666666666666	0.7774684914559652	0.5920177383592018	0.3909513954018041	0.0585401839576068	0.2559534679027966	0.1066689275620988	2.939505771795909
RDKit 1D descriptors	10073755	50(7.5%)	617 (92.5%)	XGBoost	50	21	25	38	14	456	3	19	8	104	0.7820512820512822	0.5591278640059127	0.3968253968253968	0.1363636363636363	0.6410256410256411	0.2727272727272727	0.4901960784313725	0.1177777777777777	0.1818181818181818	0.782051282051282	0.4279379157427938	0.4550243606108319	0.087629580493069	0.2806416708855733	0.1058620469376113	3.3641145984331766
RDKit 1D descriptors	10014665	50(7.5%)	617 (92.5%)	XGBoost	50	30	15	6	22	490	1	4	12	117	0.6966543156059285	0.5219326128417038	0.7142857142857143	0.2	0.4054054054054054	0.0769230769230769	0.5172413793103449	0.1379120879120879	0.1111111111111111	0.6966543156059285	0.6052129688493325	0.5138431242436873	0.068502255631454	0.3308510869486479	0.1585540395160332	3.253018875916799
RDKit 1D descriptors	10030124	97(14.54%)	570 (85.46%)	XGBoost	50	42	56	72	22	383	10	25	9	90	0.7798534798534799	0.6544622425629291	0.4375	0.2857142857142857	0.717948717948718	0.5263157894736842	0.5436893203883495	0.4214807118618371	0.3703703703703703	0.77985347985348	0.671395881006865	0.4631068559452727	0.2453163152035292	0.3553783614759224	0.3547476312262139	4.624644804000854
RDKit 1D descriptors	10049773	171(25.64%)	496 (74.36%)	XGBoost	50	6	90	113	38	292	15	31	28	60	0.7120563271604938	0.5040889343214925	0.4433497536945813	0.3260869565217391	0.703125	0.3488372093023256	0.5438066465256797	0.3604177832119588	0.3370786516853932	0.7120563271604938	0.5727063634040378	0.3730858159887246	0.0080403471907932	0.3830248546659396	0.3968634971980191	4.712537916501363
RDKit 1D descriptors	10012441	93(13.94%)	574 (86.06%)	XGBoost	50	32	59	32	19	423	3	12	12	107	0.843040293040293	0.5495798319327732	0.6483516483516484	0.2	0.7564102564102564	0.2	0.6982248520710059	0.3656666666666667	0.2	0.843040293040293	0.6190476190476191	0.6444604929683984	0.0991596638655462	0.5260671161234013	0.1929184401265165	2.7945972879727683
RDKit 1D descriptors	10020852	91(13.64%)	576 (86.36%)	XGBoost	50	8	47	89	26	371	9	22	9	94	0.7251786777843955	0.6551724137931034	0.3455882352941176	0.2903225806451613	0.6438356164383562	0.5	0.4497607655502392	0.2734546473991385	0.3673469387755102	0.7251786777843954	0.7159961685823755	0.3551672386044159	0.2509633479776348	0.2712825023093099	0.338271115268616	3.129058639208476
RDKit 1D descriptors	10020635	56(8.4%)	611 (91.6%)	XGBoost	50	35	30	31	11	461	3	10	12	109	0.834349593495935	0.5579831932773109	0.4918032786885246	0.2307692307692307	0.7317073170731707	0.2	0.5882352941176471	0.3537461300309598	0.2142857142857142	0.834349593495935	0.6577030812324929	0.5597181088697097	0.1235341052249267	0.3804939562636484	0.267531299456131	3.5281871914863587
RDKit 1D descriptors	10039674	109(16.34%)	558 (83.66%)	XGBoost	50	8	57	58	29	389	10	17	13	94	0.7665183913428022	0.6408147277712495	0.4956521739130435	0.3703703703703703	0.6627906976744186	0.4347826086956521	0.5671641791044776	0.2764568764568764	0.3999999999999999	0.7665183913428022	0.6549157853505679	0.4766758010486822	0.2647461858716017	0.3829226557801861	0.3507320619827844	3.538257551193237
