data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002974	85(12.74%)	582 (87.26%)	XGBoost	50	43	57	53	15	408	5	9	8	112	0.8383496023138106	0.6551176096630642	0.5181818181818182	0.3571428571428571	0.7916666666666666	0.3846153846153846	0.6263736263736264	0.2638768638768639	0.3703703703703704	0.8383496023138106	0.638906547997457	0.5715389737542979	0.3001931789055161	0.4383698618454716	0.3142888892598069	4.415830624103546
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10065553	49(7.35%)	618 (92.65%)	XGBoost	50	39	23	1	12	497	1	1	13	119	0.8275674125071715	0.531547619047619	0.9583333333333334	0.5	0.6571428571428571	0.0714285714285714	0.7796610169491525	0.109090909090909	0.125	0.8275674125071715	0.680952380952381	0.7825549941256152	0.1591656184095487	0.6522759760564638	0.2422570868824052	5.763005077838898
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002948	63(9.45%)	604 (90.55%)	XGBoost	50	22	34	54	15	430	1	16	13	104	0.791153651543262	0.469047619047619	0.3863636363636363	0.0588235294117647	0.6938775510204082	0.0714285714285714	0.4963503649635036	0.208731884057971	0.064516129032258	0.7911536515432619	0.5238095238095238	0.4531600501395894	-0.0568933238233962	0.2962316429215384	0.1099736120398037	5.841184715429942
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029216	69(10.34%)	598 (89.66%)	XGBoost	50	24	38	60	17	418	7	18	7	102	0.7826930391783948	0.675	0.3877551020408163	0.28	0.6909090909090909	0.5	0.4967320261437908	0.2014357438872441	0.358974358974359	0.7826930391783948	0.7053571428571429	0.4439997619547655	0.2748143660360872	0.2997984593803409	0.2153889616177137	6.875517038504283
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005850	76(11.39%)	591 (88.61%)	XGBoost	50	41	23	2	39	469	0	5	14	115	0.6833607287172112	0.4791666666666667	0.92	0.0	0.3709677419354839	0.0	0.5287356321839081	0.0783333333333333	0.0	0.6833607287172112	0.4386904761904762	0.5560844613569205	-0.0672455487321607	0.4144610542879622	0.1144612804975563	6.090743851661682
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002917	119(17.84%)	548 (82.16%)	XGBoost	50	8	62	63	29	379	13	22	15	84	0.7693923723335487	0.6283692722371967	0.496	0.3714285714285714	0.6813186813186813	0.4642857142857143	0.5740740740740741	0.2960892947073071	0.4126984126984127	0.7693923723335488	0.6762129380053908	0.4784780651780014	0.2376136598324211	0.3923430715625837	0.4210703928170067	5.171624640623729
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061744	107(16.04%)	560 (83.96%)	XGBoost	50	6	58	58	28	389	5	17	16	96	0.7723323448311743	0.543826380109566	0.5	0.2272727272727272	0.6744186046511628	0.238095238095238	0.5742574257425743	0.2633707339878448	0.2325581395348837	0.7723323448311742	0.6413822166034555	0.4855513726202065	0.0860189454686414	0.3897421353462192	0.2555125915849743	7.820481793085734
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10027459	35(5.25%)	632 (94.75%)	XGBoost	50	0	4	0	22	507	0	0	9	125	0.5769230769230769	0.5	1.0	0.0	0.1538461538461538	0.0	0.2666666666666667	0.0	0.0	0.5769230769230769	0.5137777777777778	0.3839896028838194	0.0	0.1951219512195122	0.087903963055622	5.356438326835632
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048962	64(9.6%)	603 (90.4%)	XGBoost	50	42	34	88	17	394	1	34	12	87	0.7420470262793915	0.3979656706929434	0.2786885245901639	0.0285714285714285	0.6666666666666666	0.0769230769230769	0.3930635838150288	0.1867001051394644	0.0416666666666666	0.7420470262793913	0.3610934520025429	0.3389514748433213	-0.1374956794967336	0.2176872840607346	0.0781524575060386	7.0967199325561525
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10037377	50(7.5%)	617 (92.5%)	XGBoost	50	22	36	28	4	465	1	6	9	118	0.9216024340770792	0.5258064516129033	0.5625	0.1428571428571428	0.9	0.1	0.6923076923076923	0.1209653092006033	0.1176470588235294	0.9216024340770792	0.7274193548387097	0.6834553574315764	0.060956251313432	0.5137546904315197	0.1631106124156777	7.28898690144221
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10038669	59(8.85%)	608 (91.15%)	XGBoost	50	40	45	9	3	476	0	8	11	115	0.959471649484536	0.4674796747967479	0.8333333333333334	0.0	0.9375	0.0	0.8823529411764706	0.1644444444444444	0.0	0.959471649484536	0.6533628972653363	0.871797394162289	-0.0753535136514246	0.7868785178236398	0.1207812946115085	7.566329876581828
