data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
ECFP4 fingerprints	10054265	85(12.74%)	582 (87.26%)	XGBoost	50	46	34	21	32	446	1	11	18	104	0.7350918175329311	0.4784897025171625	0.6181818181818182	0.0833333333333333	0.5151515151515151	0.0526315789473684	0.5619834710743802	0.143030303030303	0.064516129032258	0.735091817532931	0.4681922196796338	0.5090994457834471	-0.0525571243134752	0.3784948237276396	0.1401950103003989	5.4584333578745525
ECFP4 fingerprints	10003668	93(13.94%)	574 (86.06%)	XGBoost	50	31	44	16	29	444	1	9	19	105	0.7839785586658725	0.4855263157894737	0.7333333333333333	0.1	0.6027397260273972	0.05	0.6616541353383458	0.2715519034741002	0.0666666666666666	0.7839785586658725	0.5657894736842105	0.6178025500921137	-0.039252350615759	0.4964181380486091	0.1683116797341503	3.892079150676728
ECFP4 fingerprints	10028625	86(12.89%)	581 (87.11%)	XGBoost	50	31	39	55	26	413	3	22	18	91	0.7412393162393163	0.4740834386852086	0.4148936170212766	0.12	0.6	0.1428571428571428	0.490566037735849	0.2401504526329211	0.1304347826086956	0.7412393162393163	0.5518331226295827	0.4142490321919351	-0.0483696549177088	0.2977166580176439	0.1742250045449115	4.469435997804006
ECFP4 fingerprints	10035618	63(9.45%)	604 (90.55%)	XGBoost	50	8	21	15	27	470	0	3	15	116	0.7032860824742269	0.4873949579831932	0.5833333333333334	0.0	0.4375	0.0	0.5	0.06	0.0	0.7032860824742267	0.5759103641456582	0.4637668323458457	-0.0537275613027757	0.3058649937460913	0.1538248814228534	3.255567141373952
ECFP4 fingerprints	10003988	76(11.39%)	591 (88.61%)	XGBoost	50	39	25	40	33	435	4	9	14	107	0.6734119782214156	0.5723180076628352	0.3846153846153846	0.3076923076923077	0.4310344827586206	0.2222222222222222	0.4065040650406504	0.2826551226551226	0.2580645161290323	0.6734119782214155	0.608955938697318	0.3300580161288153	0.1666392623486571	0.2276961894287378	0.2815938298676756	6.018175605932871
ECFP4 fingerprints	10061529	87(13.04%)	580 (86.96%)	XGBoost	50	43	40	36	29	428	2	8	16	108	0.7510619690154923	0.5210727969348659	0.5263157894736842	0.2	0.5797101449275363	0.1111111111111111	0.5517241379310345	0.3069241105370138	0.1428571428571428	0.7510619690154922	0.5718390804597702	0.482091601475405	0.0546898311339945	0.3595196082219579	0.1699148385546945	4.016240771611532
ECFP4 fingerprints	10015037	51(7.65%)	616 (92.35%)	XGBoost	50	48	23	24	20	466	2	8	6	118	0.7429520645467489	0.5932539682539683	0.4893617021276595	0.2	0.5348837209302325	0.25	0.5111111111111111	0.3074156545209177	0.2222222222222222	0.7429520645467489	0.5496031746031746	0.4666763514351744	0.1681576930402609	0.2992750602723931	0.117851170197197	5.107449920972188
ECFP4 fingerprints	10046861	19(2.85%)	648 (97.15%)	XGBoost	50	0	2	0	11	520	0	0	6	128	0.5769230769230769	0.5	1.0	0.0	0.1538461538461538	0.0	0.2666666666666667	0.0	0.0	0.5769230769230769	0.34375	0.3881483398263879	0.0	0.174484052532833	0.0420961085892704	2.883278218905131
ECFP4 fingerprints	10008629	123(18.44%)	544 (81.56%)	XGBoost	50	47	67	53	28	385	4	14	24	92	0.7921292958423456	0.5053908355795148	0.5583333333333333	0.2222222222222222	0.7052631578947368	0.1428571428571428	0.6232558139534884	0.2764680417621594	0.1739130434782608	0.7921292958423456	0.6061320754716981	0.5353506281357382	0.0128544287932987	0.4463047628451992	0.2603256230205836	5.587663233280182
ECFP4 fingerprints	10024855	78(11.69%)	589 (88.31%)	XGBoost	50	46	30	49	30	424	3	13	15	103	0.6982029598308668	0.5272988505747127	0.379746835443038	0.1875	0.5	0.1666666666666666	0.4316546762589928	0.2273492063492063	0.1764705882352941	0.6982029598308669	0.5919540229885059	0.3526183060707947	0.0574167503972797	0.2461585959579167	0.2299842917827558	2.5451341827710467
