data	safety_endpoint	roc_auc_score	pr_auc_score
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10009657	0.7245762711864406	0.401855168516419
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061593	0.628456510809452	0.29218563796496516
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10013442	0.5306334371754933	0.2610145528948107
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10008118	0.46926229508196715	0.08855636333083686
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10012601	0.6535087719298245	0.21098789533862677
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033649	0.6396965865992414	0.25297221716110774
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10016581	0.8229166666666666	0.18764680347843848
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035485	0.5451754385964912	0.1882905860326927
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019211	0.5983870967741935	0.14914827608595022
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10054889	0.5689922480620155	0.05993787661044298
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10046555	0.7471590909090909	0.4286425218951583
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10008729	0.5254004576659038	0.21168524919807968
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10013916	0.7827522935779816	0.4656803266481933
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10056325	0.694385593220339	0.20305962829897173
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020524	0.6029357798165138	0.2917113620401275
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050196	0.4870689655172413	0.16991568707359966
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10003553	0.35092180546726004	0.09777994410764279
